airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,equipment
WT,,YXL,169,ZRJ,5547,,0,BEH
9M,,YXS,172,YLW,87,,0,BEH
9M,,YXS,172,YXJ,168,,0,BEH
9M,,YXS,172,YYC,178,,0,DH3
9M,,YXS,172,YYD,179,,0,BEH
9M,,YYC,178,YLL,85,,0,BEH D38
9M,,YYE,180,YXJ,168,,0,D38 BEH DH3
PB,,YYR,188,YAY,24,,0,DH1
PB,,YYR,188,YDF,45,,0,DH1
PB,,YYR,188,YWK,161,,0,DH1
PB,,YYR,188,YBX,5485,,0,SFB
PB,,YYT,189,YDF,45,,0,DH1 SFB
P6,,YYY,192,YZV,202,,0,AT4
P6,,YZV,202,YBG,28,,0,J32
3H,,YZV,202,YKL,80,,0,BET DH8
P6,,YZV,202,YQB,111,,0,J32
O4,,ACC,248,NYI,251,,0,ATR
O4,,ACC,248,KMS,5556,,0,ATR
HS,,GOT,687,SDL,721,,0,F50
HS,,GOT,687,BLE,739,,0,J32
HS,,MMX,708,ORB,731,,0,J32
HS,,SDL,721,GOT,687,,0,F50
HS,,UME,728,OSD,5593,,0,J32
HS,,ORB,731,MMX,708,,0,J32
HS,,BLE,739,ORB,731,,0,J32
ZD,,HAH,912,DZA,915,,0,AT7
ZD,,DZA,915,HAH,912,,0,AT7
ZD,,DZA,915,MJN,929,,0,AT7
XU,,BBO,1122,DXB,2188,,0,M82
P2,,LAU,1144,MYD,5694,,0,DH8
P2,,WIL,1147,NYK,5695,,0,CNA
P2,,WIL,1147,MRE,7424,,0,DH7 DHT
ZD,,DAR,1177,DZA,915,,0,AT7
XU,,EBB,1187,NBO,4059,,0,M82
EB,,MAD,1229,CUN,1852,,0,744
EB,,PUJ,1760,MAD,1229,,0,744
5U,,GUA,1767,FRS,4024,,0,SF3 EMB
5U,,RTB,1774,GUA,1767,,0,SF3
5U,,TGU,1776,GUA,1767,,0,SF3
XU,,DXB,2188,HGA,1121,,0,M82
YJ,,HEH,3213,MDL,3222,,0,AT7
YJ,,MDL,3222,NYU,3209,,0,AT7
YJ,,MDL,3222,MYT,3224,,0,AT7
YJ,,THL,3237,HEH,3213,,0,AT7
YJ,,RGN,3239,HEH,3213,,0,AT7
YJ,,RGN,3239,MDL,3222,,0,AT7
4W,,BTT,3417,AKP,6712,,0,PA2
4W,,FYU,3420,FAI,3832,,0,PA2
X4,,JNU,3492,EXI,7141,,0,PA1
P1,,MDW,3747,LUK,3681,Y,0,FRJ
4W,,FAI,3832,CIK,7105,,0,PA2
4W,,FAI,3832,RMP,7112,,0,CN1
4W,,FAI,3832,WBQ,7115,,0,PA2
5U,,FRS,4024,GUA,1767,,0,EMB SF3
5U,,FRS,4024,BZE,1957,,0,CNA
WT,,YAX,5465,YTL,5531,,0,BEH
WT,,YNO,5467,YHP,5471,,0,PL2 BEH
WT,,XBE,5468,YTL,5531,,0,BEH
WT,,KIF,5469,YXL,169,,0,BEH
WT,,YHP,5471,YRL,5527,,0,PL2 BEH
YN,,YKU,5472,YVO,153,,0,BET
YN,,YKU,5472,YGW,5496,,0,DH8
WT,,XKS,5480,YTL,5531,,0,BEH
3H,,YKG,5481,YPJ,5508,,0,DHT DH8
YN,,YAT,5482,YPO,5522,,0,DH1
PB,,YDP,5488,YNP,,,0,DHT
WT,,YER,5489,YXL,169,,0,BEH
YN,,YFA,5490,YMO,91,,0,DH1
WT,,YFH,5491,YQT,121,,0,PL2 BEH
3H,,YGW,5496,YUL,146,,0,DH8
3H,,YGW,5496,YPH,5520,,0,BET
3H,,YQC,5499,YKG,5481,,0,DH8
YN,,YNS,5501,YMT,5514,,0,DH8
PB,,YHO,5502,YMN,5492,,0,DHT
3H,,AKV,5506,YIK,5504,,0,DH8
YN,,YKQ,5507,YMO,91,,0,BEC
YN,,YKQ,5507,YKU,5472,,0,DH8
YN,,YKQ,5507,YMT,5514,,0,DH8
3H,,YPJ,5508,YVP,154,,0,DHT
3H,,YPJ,5508,YKG,5481,,0,DHT DH8
WT,,YLH,5510,YWP,5533,,0,BEH
YN,,YMT,5514,YNS,5501,,0,DH8
3H,,YUD,5515,YGW,5496,,0,DH8
3H,,YUD,5515,YSK,5529,,0,DH8
YN,,YNC,5516,YKU,5472,,0,DH8
WT,,YPM,5521,YXL,169,,0,BEH
WT,,YPM,5521,YNO,5467,,0,PL2 BEH
YN,,YPO,5522,YAT,5482,,0,DH1
WT,,YRL,5527,YVZ,5532,,0,BEH
3H,,YSK,5529,YGW,5496,,0,DH8
3H,,YSK,5529,YUD,5515,,0,DH8
YN,,ZEM,5539,YKQ,5507,,0,DH8
WT,,MSA,5544,ZRJ,5547,,0,BEH
WT,,ZSJ,5548,YPM,5521,,0,PL2
WT,,ZSJ,5548,KEW,8355,,0,BEH
PB,,ZUM,5550,YYR,188,,0,DH1
XU,,BSA,5686,BBO,1122,,0,EM2
XU,,MGQ,5687,HGA,1121,,0,M82
XU,,GLK,5688,WJR,1149,,0,EM2
XU,,GLK,5688,BSA,5686,,0,EM2
XU,,GLK,5688,MGQ,5687,,0,EM2
4E,,MCG,5965,NIB,7214,,0,PAG
7S,,ANI,5967,HCR,5962,,0,CNA
7S,,ANI,5967,KLG,5964,,0,CNA
4W,,AKP,6712,FAI,3832,,0,PA2
7S,,ANV,6713,KGX,7219,,0,CNA
3H,,YPX,6727,YVP,154,,0,BET
3H,,YTQ,6728,YPJ,5508,,0,DHT DH8
P2,,UAS,6773,WIL,1147,,0,CNA
P6,,YVB,6775,YYY,192,,0,J32 PL2
4W,,CIK,7105,FAI,3832,,0,PA2
4W,,MNT,7110,FAI,3832,,0,CN1
4W,,WBQ,7115,FAI,3832,,0,PA2
4W,,CEM,7116,IRC,7236,,0,PA2
4W,,CXF,7119,AKP,6712,,0,PA2
4E,,NIB,7214,MCG,5965,,0,PAG
4E,,TCT,7215,TLJ,3423,,0,PAG
4W,,MLY,7246,MNT,7110,,0,CN1
PB,,YSO,7252,YYR,188,,0,DHT
PB,,YSO,7252,YMN,5492,,0,DHT
9M,,YOP,7266,YEG,49,,0,BEH
P2,,MRE,7424,WIL,1147,,0,DH7 DHT
P1,,MMU,7657,CVG,3488,,0,FRJ
Q5,10,CKX,,TKJ,7235,,0,CNA
Q5,10,FAI,3832,HKB,7242,,0,CNA
Q5,10,TKJ,7235,CKX,,,0,CNA
Q5,10,HKB,7242,FAI,3832,,0,CNA
ZI,21,MLH,,QSF,6492,,0,320
ZI,21,BJA,209,MRS,1353,,0,320
ZI,21,ALG,210,ORY,1386,,0,320 319
ZI,21,ALG,210,LIL,1399,,0,320
ZI,21,CZL,221,MRS,1353,,0,319
ZI,21,ORN,231,MRS,1353,,0,319
ZI,21,ORN,231,CDG,1382,,0,319
ZI,21,ORN,231,ORY,1386,,0,320
ZI,21,ORN,231,LIL,1399,,0,320
ZI,21,BSK,235,ORY,1386,,0,319
ZI,21,DJE,293,ORY,1386,,0,320
ZI,21,TLS,1273,ALG,210,,0,320 319
ZI,21,LYS,1335,QSF,6492,,0,320
ZI,21,MRS,1353,BJA,209,,0,320
ZI,21,ORY,1386,ALG,210,,0,320 319
ZI,21,ORY,1386,DJE,293,,0,320
ZI,21,ORY,1386,BKO,1044,,0,320
ZI,21,ORY,1386,LIS,1638,,0,319 320
ZI,21,ORY,1386,VKO,2988,,0,320
ZI,21,ORY,1386,FNC,4091,,0,320
ZI,21,ORY,1386,QSF,6492,,0,320
ZI,21,LIL,1399,ALG,210,,0,320
ZI,21,VKO,2988,ORY,1386,,0,320
ZI,21,FNC,4091,ORY,1386,,0,320
ZI,21,QSF,6492,MLH,,,0,320
ZI,21,QSF,6492,LYS,1335,,0,320
ZI,21,QSF,6492,ORY,1386,,0,320
AA,24,HYD,,LHR,507,Y,0,767
AA,24,YEG,49,LAX,3484,,0,737
AA,24,YEG,49,DFW,3670,,0,319
AA,24,YEG,49,LAS,3877,,0,737
AA,24,YHZ,73,PHL,3752,Y,0,E70 CRJ E75
AA,24,YKF,79,ORD,3830,Y,0,ER4 ERD
AA,24,YOW,100,CLT,3876,Y,0,CRJ
AA,24,YQB,111,PHL,3752,Y,0,CRJ
AA,24,YUL,146,AMM,2170,Y,0,330
AA,24,YUL,146,MIA,3576,,0,738
AA,24,YUL,146,DTW,3645,Y,0,330
AA,24,YUL,146,DFW,3670,,0,738
AA,24,YVR,156,NRT,2279,,0,787
AA,24,YVR,156,SEA,3577,Y,0,DH4
AA,24,YVR,156,PDX,3720,Y,0,DH4
AA,24,YYC,178,SAN,3731,,0,737
AA,24,YYC,178,JFK,3797,,0,737
AA,24,YYC,178,ORD,3830,,0,737
AA,24,YYZ,193,DCA,3520,Y,0,CRJ
AA,24,YYZ,193,JFK,3797,Y,0,CR7
AA,24,YYZ,193,LAS,3877,,0,737
AA,24,YYZ,193,MCO,3878,,0,737
AA,24,BRU,302,PHL,3752,,0,767
AA,24,FRA,340,CLT,3876,,0,333 332
AA,24,HAM,342,LHR,507,Y,0,320 319 321
AA,24,DUS,345,MIA,3576,Y,0,330
AA,24,MUC,346,LHR,507,Y,0,321 320 319
AA,24,TXL,351,LHR,507,Y,0,320 319 321
AA,24,TXL,351,ORD,3830,Y,0,330
AA,24,HEL,421,MAN,478,Y,0,E70
AA,24,HEL,421,LHR,507,Y,0,320
AA,24,MAN,478,LHR,507,Y,0,319 320 321
AA,24,MAN,478,PHL,3752,,0,332
AA,24,LHR,507,HYD,,Y,0,767
AA,24,LHR,507,ACC,248,Y,0,744
AA,24,LHR,507,BRU,302,Y,0,320 319 321
AA,24,LHR,507,MAN,478,Y,0,319 320 321
AA,24,LHR,507,NCL,521,Y,0,321 320 319
AA,24,LHR,507,ABZ,532,Y,0,319 321 320
AA,24,LHR,507,DUB,599,Y,0,319
AA,24,LHR,507,LUX,629,Y,0,319
AA,24,LHR,507,BGO,636,Y,0,319
AA,24,LHR,507,OSL,644,Y,0,319 320 321
AA,24,LHR,507,LCA,1197,Y,0,767
AA,24,LHR,507,ZAG,1208,Y,0,319 320
AA,24,LHR,507,BCN,1218,Y,0,319 320 321 767
AA,24,LHR,507,MXP,1524,Y,0,319 320 321
AA,24,LHR,507,BLQ,1538,Y,0,320 319
AA,24,LHR,507,FCO,1555,Y,0,321 320 319
AA,24,LHR,507,OTP,1657,Y,0,320
AA,24,LHR,507,BAH,2057,Y,0,777
AA,24,LHR,507,DXB,2188,Y,0,744 777
AA,24,LHR,507,DEL,3093,Y,0,777
AA,24,LHR,507,BOS,3448,Y,0,744 777
AA,24,LHR,507,PHX,3462,Y,0,744
AA,24,LHR,507,SEA,3577,,0,777
AA,24,LHR,507,DEN,3751,Y,0,777
AA,24,LHR,507,NBO,4059,Y,0,744
AA,24,GLA,534,LHR,507,Y,0,319 320 321
AA,24,GLA,534,PHL,3752,,0,757
AA,24,EDI,535,LHR,507,Y,0,767 320 321
AA,24,AMS,580,LHR,507,Y,0,320 767 321 319
AA,24,AMS,580,PHL,3752,,0,757
AA,24,DUB,599,PHL,3752,,0,332
AA,24,DUB,599,JFK,3797,,0,757
AA,24,BGO,636,LHR,507,Y,0,319
AA,24,CPT,797,LHR,507,Y,0,744 777
AA,24,JNB,813,LHR,507,Y,0,380 744
AA,24,LPA,1054,MAD,1229,Y,0,320
AA,24,BCN,1218,PHL,3752,,0,332
AA,24,BCN,1218,JFK,3797,,0,763
AA,24,MAD,1229,LAX,3484,Y,0,340
AA,24,AGP,1230,LHR,507,Y,0,320
AA,24,NCE,1354,LHR,507,Y,0,319 320 321
AA,24,CDG,1382,KUL,3304,,0,380
AA,24,CDG,1382,DFW,3670,,0,763 777
AA,24,ORY,1386,JFK,3797,Y,0,757
AA,24,BSL,1423,LHR,507,Y,0,319 320
AA,24,BUD,1489,LHR,507,Y,0,320
AA,24,FCO,1555,ORD,3830,,0,763
AA,24,FCO,1555,CLT,3876,,0,333
AA,24,ZRH,1678,LHR,507,Y,0,320 319
AA,24,ZRH,1678,JFK,3797,,0,763
AA,24,GIB,1738,LHR,507,Y,0,320
AA,24,PLS,1754,PHL,3752,,0,319
AA,24,PUJ,1760,PHL,3752,,0,319 332 320
AA,24,POP,1761,MIA,3576,,0,757
AA,24,SDQ,1762,MIA,3576,,0,757 763
AA,24,GUA,1767,DFW,3670,,0,738
AA,24,TGU,1776,MIA,3576,,0,757
AA,24,CUU,1797,DFW,3670,Y,0,ER4 ERD
AA,24,CZM,1800,MIA,3576,,0,738
AA,24,CZM,1800,DFW,3670,,0,738
AA,24,CZM,1800,CLT,3876,,0,319
AA,24,GDL,1804,PHX,3462,Y,0,CR9 CRJ
AA,24,GDL,1804,LAX,3484,Y,0,737
AA,24,GDL,1804,DFW,3670,,0,M80
AA,24,BJX,1815,DFW,3670,,0,319
AA,24,MEX,1824,PHX,3462,,0,319
AA,24,MEX,1824,LAX,3484,Y,0,737
AA,24,MEX,1824,MIA,3576,,0,738
AA,24,MEX,1824,CLT,3876,,0,319
AA,24,MZT,1826,PHX,3462,,0,320 319
AA,24,MZT,1826,DFW,3670,Y,0,ERD ER4
AA,24,PVR,1836,ORD,3830,,0,M83
AA,24,QRO,1838,DFW,3670,Y,0,ERD
AA,24,TRC,1845,DFW,3670,Y,0,ER4
AA,24,CUN,1852,BOS,3448,,0,319
AA,24,CUN,1852,PHX,3462,,0,757 320 321
AA,24,CUN,1852,CLT,3876,,0,321 320 737
AA,24,ZCL,1855,DFW,3670,Y,0,ERD
AA,24,LIR,1881,MIA,3576,,0,738
AA,24,LIR,1881,DFW,3670,,0,738
AA,24,GCM,1926,MIA,3576,,0,738
AA,24,GGT,1941,MIA,3576,Y,0,ER4
AA,24,ELH,1943,MIA,3576,Y,0,ER4
AA,24,FPO,1948,CLT,3876,Y,0,CR7
AA,24,NAS,1953,DCA,3520,,0,319
AA,24,NAS,1953,MIA,3576,Y,0,ER4 ERD
AA,24,NAS,1953,PHL,3752,,0,319 320
AA,24,NAS,1953,CLT,3876,,0,319 737
AA,24,BZE,1957,DFW,3670,,0,738
AA,24,AKL,2006,BNE,3320,Y,0,737
AA,24,AKL,2006,SYD,3361,Y,0,737
AA,24,AMM,2170,YUL,146,Y,0,330
AA,24,AMM,2170,JFK,3797,Y,0,340 330
AA,24,AMM,2170,ORD,3830,Y,0,340
AA,24,AUH,2179,LHR,507,Y,0,777
AA,24,AUH,2179,ISB,2223,Y,0,320 332
AA,24,KHH,2264,NRT,2279,,0,763
AA,24,TPE,2276,NRT,2279,,0,737
AA,24,NRT,2279,TPE,2276,,0,737
AA,24,NRT,2279,CTS,2287,,0,773
AA,24,NRT,2279,HKG,3077,,0,763
AA,24,NRT,2279,HAN,3199,,0,763
AA,24,NRT,2279,SGN,3205,,0,763
AA,24,NRT,2279,SAN,3731,,0,787
AA,24,NRT,2279,ICN,3930,,0,737
AA,24,ITM,2334,NRT,2279,,0,773 737
AA,24,HND,2359,SFO,3469,,0,787
AA,24,PUS,2372,NRT,2279,,0,737
AA,24,CNF,2537,MIA,3576,,0,763
AA,24,CWB,2545,POA,2599,,0,763
AA,24,GIG,2560,MIA,3576,,0,763
AA,24,GIG,2560,CLT,3876,,0,767
AA,24,SCL,2650,LIM,2789,Y,0,763
AA,24,SCL,2650,MIA,3576,,0,763
AA,24,GYE,2673,UIO,2688,Y,0,319
AA,24,BOG,2709,DFW,3670,,0,319
AA,24,LPB,2762,VVI,2771,,0,757
AA,24,JUL,2792,AQP,2802,Y,0,320
AA,24,MVD,2816,MIA,3576,,0,763
AA,24,MAR,2848,MIA,3576,,0,757
AA,24,CCS,2851,SJU,2890,,0,738
AA,24,DOM,2877,SJU,2890,,0,SF3
AA,24,PTP,2881,MIA,3576,,0,738
AA,24,GND,2882,MIA,3576,,0,738
AA,24,STT,2883,JFK,3797,,0,757
AA,24,STX,2884,MIA,3576,,0,738
AA,24,SJU,2890,CCS,2851,,0,738
AA,24,SJU,2890,FDF,2878,,0,SF3
AA,24,SJU,2890,PTP,2881,,0,SF3
AA,24,SJU,2890,DFW,3670,,0,757
AA,24,SJU,2890,PHL,3752,,0,757 767 320
AA,24,SJU,2890,VIJ,6080,,0,DHT
AA,24,SKB,2891,MIA,3576,,0,738
AA,24,CUR,2897,MIA,3576,,0,738
AA,24,SXM,2899,PHL,3752,,0,332
AA,24,SXM,2899,CLT,3876,,0,757 319
AA,24,HKG,3077,SFO,3469,Y,0,773 744
AA,24,HKG,3077,ORD,3830,Y,0,773
AA,24,MAA,3144,LHR,507,Y,0,777
AA,24,KUL,3304,NRT,2279,,0,763
AA,24,KUL,3304,SIN,3316,,0,737
AA,24,PEN,3308,KUL,3304,,0,737
AA,24,ASP,3319,SYD,3361,Y,0,737
AA,24,BNE,3320,TSV,3330,Y,0,737
AA,24,BNE,3320,CBR,3355,Y,0,737
AA,24,BNE,3320,SYD,3361,Y,0,744 737
AA,24,BNE,3320,DRW,3999,Y,0,763
AA,24,CNS,3322,BNE,3320,Y,0,737
AA,24,MEL,3339,PER,3351,Y,0,330 737
AA,24,MEL,3339,CBR,3355,Y,0,737
AA,24,MEL,3339,LAX,3484,Y,0,380
AA,24,ADL,3341,BNE,3320,Y,0,737
AA,24,PER,3351,BNE,3320,Y,0,330 737
AA,24,CBR,3355,BNE,3320,Y,0,737
AA,24,CBR,3355,SYD,3361,Y,0,737
AA,24,SYD,3361,AKL,2006,Y,0,737
AA,24,SYD,3361,CHC,2009,Y,0,737
AA,24,SYD,3361,BNE,3320,Y,0,737 763
AA,24,SYD,3361,ADL,3341,Y,0,737
AA,24,SYD,3361,CBR,3355,Y,0,737
AA,24,PEK,3364,SEA,3577,Y,0,787
AA,24,PEK,3364,ORD,3830,,0,777
AA,24,PVG,3406,ORD,3830,,0,777
AA,24,BOS,3448,LHR,507,Y,0,777 744
AA,24,BOS,3448,MAD,1229,,0,330
AA,24,BOS,3448,NRT,2279,,0,787
AA,24,BOS,3448,PHX,3462,,0,320 319 321
AA,24,BOS,3448,PIT,3570,Y,0,E70 CRJ
AA,24,BOS,3448,PDX,3720,Y,0,737
AA,24,BOS,3448,JFK,3797,,0,738
AA,24,BOS,3448,CLT,3876,,0,319 321 320 E90
AA,24,OAK,3453,OGG,3456,Y,0,737
AA,24,OAK,3453,PHX,3462,,0,319 CR9
AA,24,OAK,3453,KOA,3514,Y,0,737
AA,24,OAK,3453,SEA,3577,Y,0,737
AA,24,OMA,3454,PHX,3462,,0,319
AA,24,OMA,3454,DCA,3520,Y,0,E70
AA,24,OGG,3456,SJC,3748,Y,0,737
AA,24,ICT,3457,DFW,3670,,0,319
AA,24,ICT,3457,ORD,3830,Y,0,CRJ
AA,24,MCI,3458,PHL,3752,Y,0,E75 E70 CRJ
AA,24,MCI,3458,CLT,3876,,0,319
AA,24,MSN,3459,DFW,3670,Y,0,ER4 CRJ
AA,24,MSN,3459,ORD,3830,Y,0,ER4 ERD
AA,24,PHX,3462,YEG,49,,0,319 320 737
AA,24,PHX,3462,YYC,178,,0,319 737
AA,24,PHX,3462,MEX,1824,,0,319
AA,24,PHX,3462,CUN,1852,,0,757 320 321
AA,24,PHX,3462,OMA,3454,,0,319
AA,24,PHX,3462,GEG,3467,,0,319
AA,24,PHX,3462,EWR,3494,,0,320
AA,24,PHX,3462,DCA,3520,,0,757 320 319
AA,24,PHX,3462,SEA,3577,,0,320 321
AA,24,PHX,3462,IND,3585,,0,320 319
AA,24,PHX,3462,YUM,3596,Y,0,CRJ
AA,24,PHX,3462,SAT,3621,Y,0,CR9
AA,24,PHX,3462,TUS,3636,Y,0,CR9 CRJ
AA,24,PHX,3462,DFW,3670,,0,M80 M83 319 738 321 320
AA,24,PHX,3462,MKE,3717,,0,319
AA,24,PHX,3462,SJC,3748,,0,319 320
AA,24,PHX,3462,DEN,3751,,0,320 321
AA,24,PHX,3462,CMH,3759,,0,320 319
AA,24,PHX,3462,ANC,3774,,0,320
AA,24,PHX,3462,JFK,3797,,0,321
AA,24,PHX,3462,RNO,3807,,0,319 320
AA,24,PHX,3462,BWI,3849,,0,321 319 320
AA,24,PHX,3462,CLT,3876,,0,321 320
AA,24,PHX,3462,LAS,3877,,0,321 320 319
AA,24,PHX,3462,FLG,4261,Y,0,CRJ
AA,24,BGR,3463,DCA,3520,Y,0,CRJ E70
AA,24,SFO,3469,LHR,507,Y,0,744
AA,24,SFO,3469,PVR,1836,Y,0,737
AA,24,SFO,3469,HND,2359,,0,787
AA,24,SFO,3469,DFW,3670,,0,738 757 763
AA,24,SFO,3469,JFK,3797,,0,763 32B
AA,24,SFO,3469,ORD,3830,,0,738
AA,24,SFO,3469,PSP,3839,Y,0,737
AA,24,GNV,3472,MIA,3576,Y,0,ER4
AA,24,MEM,3473,DCA,3520,Y,0,CRJ
AA,24,MEM,3473,DFW,3670,,0,319
AA,24,MEM,3473,CLT,3876,,0,319 CR7
AA,24,LAX,3484,YYC,178,,0,737
AA,24,LAX,3484,LHR,507,,0,77W
AA,24,LAX,3484,MEX,1824,Y,0,737
AA,24,LAX,3484,SJD,1840,,0,M83 738
AA,24,LAX,3484,NRT,2279,,0,777 773
AA,24,LAX,3484,LIM,2789,Y,0,763
AA,24,LAX,3484,HKG,3077,Y,0,773
AA,24,LAX,3484,BNE,3320,Y,0,744
AA,24,LAX,3484,SYD,3361,Y,0,380 744
AA,24,LAX,3484,PVG,3406,,0,777
AA,24,LAX,3484,PHX,3462,,0,321 319 320
AA,24,LAX,3484,SFO,3469,,0,738
AA,24,LAX,3484,SLC,3536,Y,0,CRJ CR7
AA,24,LAX,3484,PIT,3570,,0,738
AA,24,LAX,3484,SEA,3577,Y,0,737
AA,24,LAX,3484,IND,3585,,0,738
AA,24,LAX,3484,DFW,3670,,0,738 763 757 M83
AA,24,LAX,3484,AUS,3673,,0,M83 738
AA,24,LAX,3484,FAT,3687,Y,0,CRJ
AA,24,LAX,3484,BNA,3690,,0,738
AA,24,LAX,3484,DEN,3751,Y,0,CR7
AA,24,LAX,3484,PHL,3752,,0,321 320
AA,24,LAX,3484,CMH,3759,,0,738
AA,24,LAX,3484,SAF,3784,Y,0,CRJ
AA,24,LAX,3484,EUG,4099,Y,0,CRJ
AA,24,LAX,3484,STS,6992,Y,0,DH4
AA,24,CLE,3486,JFK,3797,Y,0,ER4
AA,24,CVG,3488,DCA,3520,Y,0,CRJ
AA,24,CVG,3488,PHL,3752,Y,0,E70 CRJ E75
AA,24,CVG,3488,ORD,3830,Y,0,ER4
AA,24,LFT,3493,DFW,3670,Y,0,ERD ER4 CRJ
AA,24,EWR,3494,ORY,1386,Y,0,757
AA,24,EWR,3494,HKG,3077,Y,0,773
AA,24,EWR,3494,PHX,3462,,0,320
AA,24,EWR,3494,DFW,3670,,0,M83 M80
AA,24,EWR,3494,PHL,3752,,0,DH3
AA,24,EWR,3494,ORD,3830,Y,0,E75 CR7
AA,24,BOI,3495,PHX,3462,,0,319
AA,24,LCH,3513,DFW,3670,Y,0,ER4 ERD
AA,24,KOA,3514,OAK,3453,Y,0,737
AA,24,KOA,3514,PHX,3462,,0,757
AA,24,DCA,3520,YUL,146,Y,0,CRJ
AA,24,DCA,3520,NAS,1953,,0,319
AA,24,DCA,3520,FLL,3533,,0,319
AA,24,DCA,3520,CAE,3561,Y,0,CRJ
AA,24,DCA,3520,CHA,3578,Y,0,CRJ
AA,24,DCA,3520,IND,3585,Y,0,E70 E75 CRJ
AA,24,DCA,3520,RDU,3626,Y,0,ERD CRJ
AA,24,DCA,3520,LIT,3660,Y,0,E70
AA,24,DCA,3520,STL,3678,Y,0,CR7
AA,24,DCA,3520,BNA,3690,Y,0,ERD CRJ E70
AA,24,DCA,3520,LGA,3697,,0,319 E90
AA,24,DCA,3520,TLH,3698,Y,0,CRJ
AA,24,DCA,3520,JAX,3712,Y,0,CRJ E75 E70
AA,24,DCA,3520,PDX,3720,Y,0,737
AA,24,DCA,3520,PBI,3722,Y,0,E75 E70
AA,24,DCA,3520,DSM,3729,Y,0,E70 CRJ
AA,24,DCA,3520,CMH,3759,Y,0,CRJ E75 E70
AA,24,DCA,3520,BHM,3811,Y,0,CRJ
AA,24,DCA,3520,ORD,3830,,0,738 M83 M80
AA,24,DCA,3520,ILM,3845,Y,0,CRJ
AA,24,DCA,3520,MSP,3858,Y,0,E70 E75
AA,24,DCA,3520,VPS,3873,Y,0,CRJ
AA,24,DCA,3520,GSO,4008,Y,0,CRJ E70 E75
AA,24,DCA,3520,SDF,4014,Y,0,CRJ E75
AA,24,DCA,3520,GSP,4034,Y,0,CRJ
AA,24,DCA,3520,SRQ,4067,Y,0,CRJ
AA,24,DCA,3520,CRW,4285,Y,0,DH3
AA,24,DCA,3520,OAJ,4386,Y,0,CRJ
AA,24,DCA,3520,FAY,5738,,0,DH3
AA,24,FLL,3533,DCA,3520,,0,319
AA,24,FLL,3533,ORD,3830,,0,738
AA,24,FLL,3533,CLT,3876,,0,319 321 320 737
AA,24,SLC,3536,CLT,3876,,0,320
AA,24,MDT,3542,PHL,3752,,0,DH3
AA,24,MDT,3542,CLT,3876,,0,319 CR7 CRJ
AA,24,IAH,3550,DFW,3670,,0,M80 M83
AA,24,IAH,3550,ORD,3830,Y,0,CR7
AA,24,BFL,3558,PHX,3462,Y,0,CRJ CR9
AA,24,ELP,3559,LAX,3484,Y,0,CRJ
AA,24,ELP,3559,ORD,3830,Y,0,E75
AA,24,CAE,3561,DCA,3520,,0,CRJ
AA,24,CAE,3561,PHL,3752,Y,0,CRJ
AA,24,HOU,3566,DFW,3670,,0,M83 M80
AA,24,PIT,3570,MIA,3576,Y,0,ER4
AA,24,PIT,3570,DFW,3670,,0,M80
